annee_pegi_duree,casting_principal,description,genre,langue,nombre_vote,pays,score,titre
"2022,PG-13,2h 14m","Abigail Cowen,Tom Lewis,Eric Dane,Famke Janssen,Logan Marshall-Green,Nina Dobrev,Livi Birch,Jamie-Lee O'Donnell,Willie Watson,Josh Taylor,Ke-Xi Wu,Brandon Auret,Clyde Berning,Tanya van Graan,Milton Schorr,Martial Batchamen Tchana,Arsema Thomas,Lauren McGregor","Sold into prostitution as a child, Angel knows nothing but betrayal. Can her heart ever be mended? Based upon the novel by Francine Rivers.","Drama,Romance",English,13K,United States,6.7,Redeeming Love
"TV Movie,2018,TV-14,1h 28m","Michael Madsen,Dominic Pace,Caroline Harris,Ego Mikitas,Aimee Stolte,Scott C. Roe,Sébastien Charmant,Elizabeth J. Cron,Paulina Nguyen,Luke Fattorusso,Daniel Joo,Philip Nathanael,Mario Rocha,Dimitry Rozental,Andrew Joseph Perez,Joseph Schnaudt,Brendan Petrizzo,Sharon Desiree","A military vessel on the search for an unidentified submersible finds themselves face to face with a giant shark, forced to use only what they have on board to defend themselves from the monstrous beast.","Action,Adventure,Horror","English,Russian",2.5K,United States,2.8,Megalodon
"2009,R,1h 42m","Steve Austin,Walton Goggins,Laura Vandervoort,Donnelly Rhodes,Joe Costa,Lynda Boyd,Scott McNeil,Clifton MaCabe Murray,Giles Panton,Paul Jarrett,Eric Keenleyside,Christina Jastrzembska,Tony Bailey,Katelyn Mager,Stephen E. Miller,Reese Alexander,Walcott E. Morgan,David Taffe","An ex-con battles it out in the cage to pay for the operation that would save the daughter of his victim. Along the way he finds fatherly love, and friendship, in the most unlikely of places.","Action,Drama",English,7.5K,"United States,Canada",5.7,Damage
"2009,Not Rated,1h 19m","Janine Huard,Ewen Cameron,Naomi Klein,Milton Friedman,Franklin D. Roosevelt,Salvador Allende,Arnold Harberger,Donald O. Hebb,Richard Nixon,Edward Korry,Augusto Pinochet,Margaret Thatcher,Orlando Letelier,Michael Townley,Jorge Rafael Videla,Joseph Blair,Elisa Tokar,Donald Rumsfeld","An investigation of ""disaster capitalism"", based on Naomi Klein's proposition that neo-liberal capitalism feeds on natural disasters, war and terror to establish its dominance.","Documentary,History",English,3.1K,United Kingdom,7.6,The Shock Doctrine
"1973,3h 30m","Bernadette Lafont,Jean-Pierre Léaud,Françoise Lebrun,Isabelle Weingarten,Jacques Renard,Jean-Noël Picq,Jessa Darrieux,Berthe Granval,Geneviève Mnich,Marinka Matuszewski,Jean-Claude Biette,Pierre Cottrell,Jean Douchet,Douchka,Bernard Eisenschitz,Jean Eustache,Caroline Loeb,Noël Simsolo",The chauvinist Alexandre balances relationships with several women in the post-1968 intellectual scene of Paris.,"Drama,Romance",French,6.6K,France,7.8,The Mother and the Whore
"TV Mini Series,2023,Unrated,44m","Emmy Raver-Lampman,André Holland,Jeremy Holm,Elvis Nolasco","In a big city with the soul of a small town in the depths of California, after a terrible shooting in a hotel makes the Ramirez family question everything they know about their city: Bakersfield.","Documentary,Crime",English,439,United States,6.1,Killing County
"2021,1h 11m","Maya Danzig,Aminah Nieves,Kristen Abate,Daniel Slottje,Lena Kutscher,Krystal K.C. Wilson,Kurt Sparks,Andrea Holder,David Evans",A young woman (Maya Danzig) living in rural Iowa dreams of becoming a dancer. She meets a stranger named Elsa (Aminah Nieves) who challenges her to run away with her to Rapid City and enter a dance contest. The two escape to the Badlands where their journey is cut short by reality.,Drama,English,24,United States,6.0,Blueberry
"2016,1h 43m","Temuera Morrison,Akuhata Keefe,Nancy Brunning,Jim Moriarty,Regan Taylor,Maria Walker,Sienna MacKinlay,Tuhiwhakauraoterangi Wallace-Ihakara,Kyra McRae,Eds Eramiha,Ngahuia Piripi,Matariki Whatarau,Miriama McDowell,Aroha Rawson,Yvonne Porter,Te Kohe Tuhaka,James Tito,Mark Ruka","From the author of ""The Whale Rider"", a tale of family rivalry and reconciliation, set against the stunning backdrop of rural New Zealand in the 1960s.",Drama,"English,Maori",1K,New Zealand,7.1,The Patriarch
"2012,Not Rated,1h 52m","Tobias Segal,Thora Birch,Christine Lahti,Brittany Snow,Michael Urie,David Rasche,Eddie Kaye Thomas,Jimmy Heck,Branca Ferrazo,Meredith Holzman,Cosondra Sjostrom,Tavian Wong,Jeannine Moore,Sanford Brown,Lion Shirdan,Jeff Kim,Ellen Crawford,Michael Emery",The story of a family whose growth is stunted... a family that learns how to love themselves while loving each other (a little too much).,"Comedy,Drama,Romance",English,812,United States,5.1,Petunia
"1993,R,1h 38m","Nicolas Cage,Dennis Hopper,Lara Flynn Boyle,Craig Reay,Vance Johnson,Robert Apel,Bobby Joe McFadden,J.T. Walsh,Dale Gibson,Ted Parks,Babs Bram,Robert Guajardo,Sarah Sullivan,Timothy Carhart,Dan Shor,Michael Ruud,Dwight Yoakam,Peter Kevin Quinn","Upon arriving to a small town, a drifter is mistaken for a hitman, but when the real hitman arrives, complications ensue.","Crime,Drama,Thriller",English,25K,United States,7.0,Red Rock West
"1997,2h 25m","Naseeruddin Shah,Akshay Kumar,Raveena Tandon,Akshay Anand,Divya Dutta,Mohan Joshi,Tinnu Anand,Rajendra Gupta,Yudhveer Singh,Salim Azmi,Brahmachari,Goga Kapoor,Ismail Khan,Gufi Paintal,Deepak Shirke,Ashalata Wabgaonkar","Underworld thugs kill one of three brothers, in order to create a rift between the remaining two.","Action,Drama,Romance",Hindi,631,India,4.1,Daava
"2012,1h 20m","Marcella Plunkett,Killian Scott,Sean Donegan,Maire O'Neill,Des Nealon,Micheál Ó Gruagáin,Camille Lucy Ross","At an guest house in the Aran islands, two backpackers vie for the affections of a young woman who is haunted by her past.","Drama,Horror",English,27,Ireland,4.8,The Rafters
"2008,Not Rated,1h 12m","Kelly O'Neill,Shane Curry,Paul Roe,Roy Dempsey,Aaron Courtney,Cathy Malone,Stephanie Kelly,Neilí Conroy,Maria de Brí,Niall Martin,Michael Hunt,Shauna Kelly,Krista Greene,Shannon Lysaght,Sean McDonagh,Shane Murphy,David Bendito,Glen Dowd","Two kids, Dylan and Kylie, run away from home at Christmas and spend a night of magic and terror on the streets of inner-city Dublin.",Drama,English,2K,"Ireland,Sweden",7.2,Kisses
"2017,PG-13,1h 47m","Vin Diesel,Donnie Yen,Deepika Padukone,Kris Wu,Ruby Rose,Tony Jaa,Nina Dobrev,Rory McCann,Toni Collette,Samuel L. Jackson,Ice Cube,Hermione Corfield,Tony Gonzalez,Michael Bisping,Al Sapienza,Nigel Bennett,Terry Chen,Daniel Kash","Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.","Action,Adventure,Thriller","English,Spanish,Portuguese,Mandarin,Tagalog,Russian",97K,"China,Canada,United States",5.2,xXx: Return of Xander Cage
"2012,TV-14,1h 29m","Yancy Butler,Patrick Bergin,Joshua Michael Allen,Bart Baggett,Erin Coker,Frankie Cullen,Valerie K. Garcia,Billy Ray,Meredith Thomas,Robert Matthew Wallace,Eric s Wilson,Israel Wright,Josh Williams,John Paul Bennett,D'Janine King-Lasky,Brittany Lasky",A group of complete strangers find themselves isolated by a wealthy madman on his island compound.,"Action,Adventure,Horror",English,1.5K,United States,2.5,Shark Week
"2010,R,1h 29m","Charisma Carpenter,Paul Sculfor,Ricci Harnett,Justin Hawkins,Ty Glaser,Richard Raynesford,Sean Chapman,Bernard Kay,Katrena Rochell,Darren Bransford,Slaine Kelly,Josh Myers,Sarah Briggs,Alexander Ellis,Neil McCaul,Eileen Pollock,Tom Gaughan,Sybille Gebhardt",A serial killer unleashes his blood lust at a remote environmental-camp. Years later a horror novelist relocates to rural England and is plagued to the point of madness by horrific hauntings of a massacre.,"Crime,Horror,Mystery",English,2.1K,United Kingdom,3.6,Psychosis
"2008,PG,1h 38m","Jimmy Page,The Edge,Jack White,Dallas Schoo,Link Wray,Bono,Adam Clayton,Michael McKean,Larry Mullen Jr.,Robert Plant,Meg White","A documentary on the electric guitar from the point of view of three significant rock musicians: The Edge, Jimmy Page, and Jack White.","Documentary,Music",English,14K,United States,7.6,It Might Get Loud
"2021,2h 22m","Dario Argento,Françoise Lebrun,Alex Lutz,Kylian Dheret,Vuk Brankovic,Kamel Benchemekh,Charles Morillon,Frank Villeneuve,Corinne Bruand,Joël Clabault,Philippe Rouyer,Jean-Pierre Bouyxou,Eric Fourneuf,Nicolas Hirgair,Nathalie Roubaud,Sylvain Rottee,Laurent Aknin,Stéphane Derdérian",The last days of an elderly couple stricken by dementia.,Drama,"French,English",9.1K,"France,Belgium,Monaco",7.4,Vortex
"TV Series,2023– ,TV-MA,50m","Rhydian Vaughan,Po-Chieh Wang,Frederick Ming Zhong Lee,Allison Lin,Hsueh Shih-ling,Po-Yu Shih,Vivian Sung,Meng-Po Fu,Patty Pei-Yu Lee,Kent Tsai,Ying-Hsuan Kao,Sean Lin,Chia-Kuei Chen,Ming-Shuai Shih,Sean Liu,Chun-hao Tuan,Chih-Wei Cheng,Ark Zheng","Inspired by real criminal cases from Taiwan. The stories probe the motives behind crimes, while also exploring themes of faith, temptation, redemption and obligation.","Crime,Drama,Thriller","Mandarin,Min Nan",218,Taiwan,6.3,Taiwan Crime Stories
"TV Series,2023– ","Robert Fratta,Bryanna Fox",Psychological criminologist and ex-FBI special agent Dr. Bryanna Fox and her class of graduate students study convicted murderers; they evaluate their personality traits and develop psychological profiles.,"Documentary,Crime",English,185,United States,5.7,The Lesson Is Murder
"TV Mini Series,2023,TV-MA","David Thibodeau,Chris Whitcomb,Lee Hancock,Bob Ricks,Kathy Schroeder,Gary W. Noesner,Heather Jones,Balenda Ganem,John McLemore,Jim Cavanaugh,Bill Buford,Dick DeGuerin","It showcases what happened in 1993 in Waco, Texas when cult leader David Koresh faced off against the federal government in a 51-day siege.","Documentary,Crime",English,7.6K,United States,7.0,Waco: American Apocalypse
"TV Series,2021,TV-14,24m","Cristina Valenzuela,Bill Butts,Yume Miyamoto,Shoya Ishige,Keone Young,Johnny Yong Bosch,Erika Harlacher,Kira Buckland,Aleks Le,Keith Silverstein,Faye Mata,Beau Billingslea,Barbara Goodson,Cassandra Lee Morris,Stephen Fu,Chris Edgerly,Griffin Puatu,Sean Chiplock","Brought together by a mysterious song, a grad student and an engineer lead the fight against an unimaginable force that may spell doom for the world.","Animation,Action,Mystery",Japanese,2.2K,Japan,6.5,Godzilla Singular Point
"1997,R,1h 57m","Anthony Hopkins,Alec Baldwin,Elle Macpherson,Harold Perrineau,Bart the Bear,L.Q. Jones,Kathleen Wilhoite,David Lindstedt,Mark Kiely,Eli Gabay,Larry Musser,Brian Arnold,Bob Boyd,Kelsa Kinsly,Gordon Tootoosis,Randy Birch,Lawrence Lefebvre,Brian Steele",An intellectual billionaire and two other men struggle to band together and survive after getting stranded in the Alaskan wilderness with a blood-thirsty Kodiak Bear hunting them down.,"Action,Adventure,Drama",English,79K,United States,6.9,The Edge
"2013,PG-13,1h 41m","Vanessa Hudgens,Rosario Dawson,Brendan Fraser,James Earl Jones,Ann Dowd,Stephanie Szostak,Emily Meade,Dascha Polanco,Candace Smith,Eddie Schweighardt,Tashiana Washington,Peter Epstein,Sheila Tapia,Hector Lincoln,Ralph Rodriguez,Andrea Cirie,David S. Shaw,Karina Bonnefil","A pregnant teenager flees her abusive mother in search of her father, only to be rejected by her stepmother and forced to survive on the streets until a compassionate stranger offers a hopeful alternative.",Drama,English,9.4K,United States,6.4,Gimme Shelter
"1998,1h 27m","Jim Earl,Frank Senger,Todd Barry,Chuck Sklar,Deanna Storey,Joseph Dolphin,Martha Greenhouse,Rick Shapiro,Louis C.K.,Steve Carell,Amy Poehler,J.B. Smoove,Jon Rubin,Alix Bailey,Greg Hahn,Robert Smigel,Bill Chott,Dexter Stallworth","Charles is the owner of a photo-shop. He is not too friendly and spends his evenings alone, and one day he finally decides to get a social life. He meets elderly Florence, who is tormented by her gambling husband Lester and longs for the son Willie she hasn't seen or heard from in 20 years.",Comedy,English,714,United States,6.3,Tomorrow Night
"1992,Not Rated,2h 44m","Jackie Shroff,Divya Bharti,Gulshan Grover,Amjad Khan,Kader Khan,Anjana Mumtaz,Raza Murad,Sudhir Pandey,K.K. Raj,Mulraj Rajda,Shilpa Shirodkar",Lookalike brother's Govardhan&Harshvardhan exchange their names in childhood and decide to live each others life forever without the knowledge of their parents but what will happen when their strict father will come to know about this.,"Drama,Romance",Hindi,129,India,5.2,Dil Hi To Hai
"annee, pegi, duree inconnu",casting inconnu,description inconnu,Drama,langue inconnu,vote inconnu,pays inconnu,score inconnu,The Dogs of Babel
"2009,PG-13,1h 51m","Colin Farrell,Alicja Bachleda,Dervla Kirwan,Alison Barry,Marion O'Dwyer,Tony Curran,Mary O'Shea,Gemma Reeves,Stephen Rea,Norma Sheahan,Emil Hostina,Conor Power,Olwyn Hanley,Brendan McCormack,Mark Doherty,Peter Gowen,Helen Norton,Don Wycherley",An Irish fisherman discovers a woman in his fishing net whom his precocious daughter believes to be a selkie.,"Drama,Mystery,Romance","English,Romanian,French",23K,"Ireland,United States",6.8,Ondine
"2007,PG-13,1h 31m","Jackie Chan,Chris Tucker,Max von Sydow,Hiroyuki Sanada,Yvan Attal,Yûki Kudô,Noémie Lenoir,Jingchu Zhang,Tzi Ma,Dana Ivey,Henry O,Mia Tyler,Michael Chow,David Niven Jr.,Oanh Nguyen,Andrew Quang,Mingming Sun,Lisa Thornhill","After an attempted assassination on Ambassador Han, Lee and Carter head to Paris to protect a French woman with knowledge of the Triads' secret leaders.","Action,Comedy,Crime","English,French,Japanese,Mandarin,Latin",182K,"United States,Germany",6.2,Rush Hour 3
"1994,PG-13,1h 42m","Woody Harrelson,Kiefer Sutherland,Dylan McDermott,Ernie Hudson,Cara Buono,Marg Helgenberger,Tomas Milian,Luis Guzmán,Angel Caban,Matthew Cowles,Joaquín Martínez,Kristin Baer,Christian Aubert,Emmanuel Xuereb,Francie Swift,Christopher Durang,Laura Ekstrand,Graciela Lecube","Two childhood friends who are rodeo cowboys travel from New Mexico to New York City searching for a friend who disappeared while looking for his daughter, who's just been smuggled into the US from Cuba.","Action,Comedy,Crime",English,9K,United States,5.9,The Cowboy Way
"2007,R,1h 59m","Ricci Harnett,Terry Stone,Craig Fairbrass,Roland Manookian,Coralie Rose,Neil Maskell,Billy Murray,Ian Virgo,Kierston Wareing,Patrick Regis,Lara Belmont,Emily Beecham,Andy Linden,Frank Harper,Jason Maza,Mark Killeen,Dave Legeno,Dhafer L'Abidine",The life of career criminal Carlton Leach.,"Action,Biography,Crime",English,22K,United Kingdom,6.8,Rise of the Footsoldier
"2010,PG-13,1h 47m","Sharni Vinson,Rick Malambri,Adam Sevani,Alyson Stoner,Keith Stallworth,Kendra Andrews,Stephen Boss,Martín Lombard,Facundo Lombard,Oren Michaeli,Joseph Slaughter,Daniel 'Cloud' Campos,Aja George,Straphanio 'Shonnie' Solomon,Terence Dickson,Chadd Smith,Britney 'B' Thomas,Terrance Harrison",A tight-knit group of New York City street dancers find themselves pitted against the world's best hip hop dancers in a high-stakes showdown.,"Drama,Music,Romance",English,60K,United States,6.2,Step Up 3D
"2022,R,1h 32m","Kristine Froseth,Jon Bernthal,Luka Sabbat,Scott Speedman,Lena Dunham,Ebon Moss-Bachrach,Taylour Paige,Jennifer Jason Leigh,Liam Michel Saux,Janicza Bravo,Ben Sidell,Tommy Dorfman,Steve Hart,Margaux Rust,Patrick McLain,Lisa Costanza,Victoria De Mare,Stephen Saux","Sarah Jo is a naive 26-year-old living on the fringes of Hollywood with her mother and sister. She just longs to be seen. When she begins an affair with her older employer, she is thrust into an education on sexuality, loss and power.",Comedy,English,2K,United States,4.9,Sharp Stick
"TV Series,2011– ,TV-14,30m","James Murray,Brian Quinn,Sal Vulcano,Joe Gatto,Casey Jost,Cole Weber,Rob Emmer,John Szeluga,Daniel Cast,Drew Patterson,Joe Imburgio,Frank Contacessa,Joey Fatone,Bill St. James,Johnna Scrabis,Chavon Deberry,Jay Miller,Simmy Kustanowitz","Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.","Comedy,Reality-TV",English,45K,United States,8.6,Impractical Jokers
"1968,Approved,1h 56m","Tony Curtis,Henry Fonda,George Kennedy,Mike Kellin,Hurd Hatfield,Murray Hamilton,Jeff Corey,Sally Kellerman,William Marshall,George Voskovec,Leora Dana,Carolyn Conwell,Jeanne Cooper,Austin Willis,Lara Lindsay,George Furth,Richard X. Slattery,William Hickey",A series of brutal murders in Boston sparks a seemingly endless and increasingly complex manhunt.,"Crime,Drama,Mystery",English,11K,United States,7.1,The Boston Strangler
"2000,R,1h 22m","Molly Ringwald,Frank Roberts,Kylie Minogue,Geoff Revell,Jessica Napier,Sarah Kants,Stephen Curry,Matthew Russell,Erika Walters,Cathy Adamek,Steve Greig,Sam Lewis,Paul Blackwell,Scott Heysen,Don Barker,Phyllis Burford,Dominic Pedlar,Holly Myers","A killer begins to stalk the actors of a low budget horror film, killing them off one by one.","Comedy,Horror,Mystery",English,3.7K,Australia,4.4,Cut
"TV Series,1995–2000,TV-Y,24m","Susan Roman,Jill Frappier,Katie Griffin,Ron Rubin,Vince Corazza,Emilie-Claire Barlow,Karen Bernstein,Linda Ballantyne,Liza Balkan,Terri Hawkes,Sugar Lyn Beard,Mary Long,Kirsten Bishop,Stephanie Morgenstern,Barbara Radecki,Toby Proctor,Tony Daniels,Sarah Lafleur",The magical action-adventures of a teenage girl who learns of her destiny as the legendary warrior Sailor Moon and must band together with the other Sailor Scouts to defend the Earth and Galaxy.,"Animation,Action,Adventure",English,13K,Japan,7.6,Sailor Moon
"TV Series,2000–2002,TV-14,1h","Adrian Pasdar,Rae Dawn Chong,Alisen Richmond-Peck,Beverley Elliott,Jerry Wasserman,Sarah Joy Brown,Danny Dworkis,Susie Wickstead,Stefanie Hartman,Andrew Airlie,Ken Pogue,Johanna Osborne,Matthew Walker,Daniel Bacon,David Richmond-Peck,Gillian Barber,Lauren K. Robek,Kevin Mundy","Declan Dunn is an anthropology professor who believes in miracles and other wonders. When he hears of a miraculous thing he goes out to find out if it's an actual miracle. Peggy Fowler is his friend, a psychiatrist who tries to make sure he's grounded.","Drama,Fantasy,Sci-Fi",English,956,Canada,7.9,Mysterious Ways
"TV Series,2022– ,1h","Mick Jagger,Keith Richards,Ronnie Wood,Sienna Miller,Sheryl Crow,Lars Ulrich,Don Was,Glyn Johns,Jon Bon Jovi,Tina Turner,Chrissie Hynde,Lulu,Slash,Lisa Fischer,Jane Rose,Marshall Chess,Bernard Fowler,Patrick Woodroffe","Follows Mick Jagger, Keith Richards, Ronnie Wood and Charlie Watts. Take a look on some unseen footage and exclusive stories from the members of the band Rolling Stones.","Documentary,Biography,Music",English,487,United Kingdom,8.0,My Life as a Rolling Stone
"2018,TV-PG,1h 41m","Vanessa Hudgens,Sam Palladio,Nick Sagar,Alexa Adeosun,Suanne Braun,Mark Fleischmann,Sara Stewart,Pavel Douglas,Amy Griffiths,Robin Soans,Ashley Emerson,Calli Taylor,Jo Cameron Brown,Clara Ciobanu,Oliver Lepadatu,Chris Jarvis,Natali Yura,Adi Gheo","Competing in a Christmas baking competition in Belgravia, a Chicago baker bumps into the prince's fiancée--who looks just like her. They switch lives for two days.","Comedy,Drama,Family",English,31K,United States,6.1,The Princess Switch
"TV Series,1986–1991,TV-PG,30m","Paul Reubens,John Paragon,Phil Hartman,Laurence Fishburne,Ric Heitzman,George McGrath,Alison Mork,Wayne White,Kevin Carlson,Lynne Marie Stewart,William Marshall,S. Epatha Merkerson,Suzanne Kent,Johann Carlo,Gregory Harrison,Gilbert Lewis,Vic Trevino,Roland Rodriguez","Pee-Wee Herman and his friends have wacky, imaginative fun in his unique playhouse.","Comedy,Family,Musical",English,5.3K,United States,8.1,Pee-wee's Playhouse
"2002,R,1h 49m","Nick Nolte,Ralph Fiennes,Nutsa Kukhianidze,Ouassini Embarek,Tchéky Karyo,Marc Lavoine,Gérard Darmon,Saïd Taghmaoui,Patricia Kell,Julien Maurel,Emir Kusturica,Roland Munter,Warren Zavatta,Théo Trifard,Sarah Bridges,Nicolas Dromard,Sergio Candiota,Mark Polish",An aging gambler on a losing streak attempts to rob a casino in Monte Carlo. But someone's already tipped off the cops before he even makes a move.,"Action,Crime,Drama","English,French,Arabic",11K,"Ireland,United Kingdom,France,Canada,United States",6.5,The Good Thief
"2019,Not Rated,1h 36m","Nick Jonas,Joe Jonas,Kevin Jonas,Sophie Turner,Priyanka Chopra Jonas,Danielle Jonas,Denise Jonas,Kevin Jonas Sr.,Frankie Jonas,Miley Cyrus,Robert Feggans,John Fields,Greg Garbowsky,David Massey,Phil McIntyre,John Lloyd Taylor,Brad Wavra,Stevie Wonder",A behind-the-scenes look at the life and work of The Jonas Brothers as they prepare their first album in six years.,"Documentary,Biography,Music",English,2.3K,United States,7.7,Chasing Happiness
"2010,PG,1h 27m","Owen Wilson,Judy Greer,Lee Pace,Emma Stone,George Lopez,Christopher Mintz-Plasse,Steve Coogan,Fergie,Kiefer Sutherland,Damon Wayans Jr.,Marlon Wayans,Sam Elliott,Caroline Sunshine,Finley Jacobsen,Mandy Haines,Milana Haines,David Walliams,William H. Macy","A suburban family moves to a new neighborhood with their large, yet lovable Great Dane, who has a tendency to wreak havoc in his own oblivious way.","Comedy,Family",English,17K,United States,4.3,Marmaduke
"2009,Not Rated,1h 29m","Danny Dyer,Noel Clarke,Emil Marwa,Lee Ingleby,Keith-Lee Castle,Christina Cole,Terry Stone,Neil Maskell,Emily Booth,Stephen Graham,Victoria Hopkins,Deborah Hyde,Nicola Jane Reading,Joelle Simpson,Deborah Perry,Tree Carr,Ria Knowles,Lorry O'Toole","A group of men, heading to a remote village to help one of their friends get over his divorce, soon discover that all the women have been infected with a virus that makes them man-hating cannibals.","Comedy,Horror,Sci-Fi",English,23K,United Kingdom,6.0,Doghouse
"2004,R,1h 41m","Christian Bale,Jennifer Jason Leigh,Aitana Sánchez-Gijón,John Sharian,Michael Ironside,Lawrence Gilliard Jr.,Reg E. Cathey,Anna Massey,Matthew Romero Moore,Robert Long,Colin Stinton,Craig Stevenson,Ferran Lahoz,Jeremy Xido,Norman Bell,Nancy Crane,Richard Torrington,Buffy Davis",An industrial worker who hasn't slept in a year begins to doubt his own sanity.,"Drama,Thriller","English,Spanish",414K,"Spain,France,United Kingdom,United States",7.6,The Machinist
"2020,1h 21m","Dan Fogler,Danny Pudi,Emma Bell,Tyler James Williams,Cleopatra Coleman,Maggie Q,Mark Ryder,Karan Brar,Marielle Scott,Charlotte McKinney,Nathan Stewart-Jarrett",A couple get into an argument at their cocktail party that escalates until it brings an abrupt end to the festivities. They and their guests decide to re-create the entire night again and again to determine who was right.,Comedy,English,897,United States,4.7,The Argument
"1980,PG,1h 42m","Robert Blake,Barbara Harris,Collin Boone,Amber Rose Gold,Jessica Stansbury,Erica Stansbury,Bert Remsen,Sondra Blake,Shirley Stoler,Woodrow Chambliss,Gwen Van Dam,Joe Wilson,Louis Williams,James Steven Beverly,Spencer Quinn,Antonio Abeyta,Carol Cox,Beege Barkette",A high-spirited wife and her meekish husband hit the road to take back her kids from her previous marriage who live with her ex-inlaws.,Comedy,English,237,United States,4.6,Second-Hand Hearts
"2013,R,1h 53m","Sean Penn,Ryan Gosling,Emma Stone,Giovanni Ribisi,Holt McCallany,Wade Williams,James Landry Hébert,Ambyr Childers,Josh Brolin,Mick Betancourt,Mac Brandt,Brandon Molale,Michael Papajohn,Jeff Wolfe,Anthony Molinari,Austin Highsmith Garces,Neil Koppel,Jack McGee","It's 1949 Los Angeles, the city is run by gangsters and a malicious mobster, Mickey Cohen. Determined to end the corruption, John O'Mara assembles a team of cops, ready to take down the ruthless leader and restore peace to the city.","Action,Crime,Drama",English,222K,United States,6.7,Gangster Squad
"1998,PG,1h 31m","Gena Rowlands,Tony Shalhoub,Cheech Marin,Bruce Davison,Trini Alvarado,Jay Mohr,Buddy Hackett,Hallie Eisenberg,Matt Craven,Bill Cobbs,Tia Texada,Laura Harrington,Peter Basch,Emily Mura-Smith,Hal Robinson,Tamara Zook,Nicole Chamberlain,Charles Parks",A talking parrot named Paulie recounts his travels to look for his original owner to a Russian janitor who helps him to the end of his journey.,"Adventure,Comedy,Drama","English,Spanish",16K,United States,6.5,Paulie
"TV Series,1986–1989,TV-14,25m","Masako Nozawa,Jôji Yanami,Brice Armstrong,Stephanie Nadolny,Hiromi Tsuru,Mayumi Tanaka,Christopher Sabat,Tôru Furuya,Naoko Watanabe,Kôhei Miyauchi,Mike McFarland,Tiffany Vollmer,Naoki Tatsuta,Mami Koyama,Bradford Jackson,Monika Antonelli,Kenji Utsumi,Laurie Steele","Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.","Animation,Action,Adventure",Japanese,65K,Japan,8.5,Dragon Ball
"2002,R,1h 51m","James Nesbitt,Tim Pigott-Smith,Nicholas Farrell,Allan Gildea,Gerard Crossan,Mary Moulds,Carmel McCallion,Christopher Villiers,James Hewitt,Declan Duddy,Edel Frazer,Joanne Lindsay,Mike Edwards,Gerry Hammond,Jason Stammers,Ken Williams,Bryan Watts,Simon Mann","A dramatization of the Irish civil rights protest march and subsequent massacre by British troops on January 30, 1972.","Drama,History,War",English,26K,"United Kingdom,Ireland,United States",7.6,Bloody Sunday
"TV Series,1980,1h","Dick Clark,Denise McKenna,John Aylesworth,Tina Roark,Donna Lynn Adrian,Nell Carter,Steve Allen,Sid Caesar,Mel Tillis,Peggy Fleming,Debby Boone,David Copperfield,Gallagher,Dorothy Hamill,Sarah Purcell,Toller Cranston,Mariette Hartley,Steve Martin","Dick Clark was the weekly host. In the tradition of ""The Ed Sullivan Show"" singers, comedians and acrobats performing a wide variety of daredevil acts appeared on the show, which reportedly was broadcast live.","Comedy,Music",English,33,United States,5.5,The Big Show
"2021,TV-PG,1h 39m","Michael Urie,Philemon Chambers,Luke Macfarlane,Barry Bostwick,Jennifer Robertson,Madison Brydges,Alexandra Beaton,Dan Finnerty,Steve Lund,Melanie Leishman,Gryffin Hanvelt,Viggo Hanvelt,Stefano DiMatteo,Victor Andres Turgeon-Trelles,Jennifer Coolidge,Kathy Najimy,Rachel Mutombo,Adam Capriolo","Desperate to avoid his family's judgment about his perpetual single status, Peter convinces his best friend Nick to join him for the holidays and pretend that they're now in a relationship.","Comedy,Drama,Romance",English,20K,United States,6.2,Single All the Way
"TV Series,1982–1986,TV-PG,1h","William Shatner,Heather Locklear,Adrian Zmed,James Darren,Richard Herd,Hugh Farrington,Lee Bryant,Paul Kent,Nicole Eggert,April Clough,Marcy Lafferty,James O'Sullivan,Robert Miano,Betty Ann Carr,Bobby Justin,Shawn Weatherly,Henry Darrow,Simone Griffeth","The weekly adventures of tough-as-nails veteran police officer Sgt. T.J. Hooker, who rides the beat with his rookie partner Vince Romano.","Action,Crime,Drama",English,5.1K,United States,6.1,T.J. Hooker
"TV Series,1978–1979,30m","John Newland,Henry Brandon,Craig Littler,Martin Rudy,Majel Barrett,Robert Walker Jr.,Mark Goddard,William Campbell,Meredith MacRae,Laraine Stephens,Simone Griffeth,Lawrence P. Casey,Kathleen King,Brioni Farrell,Paul Petersen,James Keach,Luana Anders,Zina Bethune","An updated version of the popular series from the late 50's and early 60's, One Step Beyond. Still hosted by John Newland, this series looked for supposedly real stories of hauntings, strange creatures and supernatural phenomena, and produced dramatic re-creations of them for each new episode. Unlike its predecessor, this series did not attract much of an audience, an...","Drama,Mystery,Sci-Fi",English,57,United States,7.5,The Next Step Beyond
